agent_name,power_pair,count
consistent,AUSTRIA+ENGLAND,1
consistent,AUSTRIA+FRANCE,1
consistent,AUSTRIA+GERMANY,2
consistent,AUSTRIA+ITALY,0
consistent,AUSTRIA+RUSSIA,2
consistent,AUSTRIA+TURKEY,1
consistent,ENGLAND+FRANCE,2
consistent,ENGLAND+GERMANY,2
consistent,ENGLAND+ITALY,0
consistent,ENGLAND+RUSSIA,2
consistent,ENGLAND+TURKEY,2
consistent,FRANCE+GERMANY,2
consistent,FRANCE+ITALY,2
consistent,FRANCE+RUSSIA,0
consistent,FRANCE+TURKEY,3
consistent,GERMANY+ITALY,0
consistent,GERMANY+RUSSIA,3
consistent,GERMANY+TURKEY,0
consistent,ITALY+RUSSIA,1
consistent,ITALY+TURKEY,3
consistent,RUSSIA+TURKEY,1
cicero_nopress,AUSTRIA+ENGLAND,1
cicero_nopress,AUSTRIA+FRANCE,1
cicero_nopress,AUSTRIA+GERMANY,2
cicero_nopress,AUSTRIA+ITALY,0
cicero_nopress,AUSTRIA+RUSSIA,2
cicero_nopress,AUSTRIA+TURKEY,1
cicero_nopress,ENGLAND+FRANCE,2
cicero_nopress,ENGLAND+GERMANY,2
cicero_nopress,ENGLAND+ITALY,0
cicero_nopress,ENGLAND+RUSSIA,2
cicero_nopress,ENGLAND+TURKEY,2
cicero_nopress,FRANCE+GERMANY,2
cicero_nopress,FRANCE+ITALY,2
cicero_nopress,FRANCE+RUSSIA,0
cicero_nopress,FRANCE+TURKEY,3
cicero_nopress,GERMANY+ITALY,0
cicero_nopress,GERMANY+RUSSIA,3
cicero_nopress,GERMANY+TURKEY,0
cicero_nopress,ITALY+RUSSIA,1
cicero_nopress,ITALY+TURKEY,3
cicero_nopress,RUSSIA+TURKEY,1
dipnet,AUSTRIA+ENGLAND,1
dipnet,AUSTRIA+FRANCE,1
dipnet,AUSTRIA+GERMANY,2
dipnet,AUSTRIA+ITALY,0
dipnet,AUSTRIA+RUSSIA,2
dipnet,AUSTRIA+TURKEY,1
dipnet,ENGLAND+FRANCE,2
dipnet,ENGLAND+GERMANY,2
dipnet,ENGLAND+ITALY,0
dipnet,ENGLAND+RUSSIA,2
dipnet,ENGLAND+TURKEY,2
dipnet,FRANCE+GERMANY,2
dipnet,FRANCE+ITALY,2
dipnet,FRANCE+RUSSIA,0
dipnet,FRANCE+TURKEY,3
dipnet,GERMANY+ITALY,0
dipnet,GERMANY+RUSSIA,3
dipnet,GERMANY+TURKEY,0
dipnet,ITALY+RUSSIA,1
dipnet,ITALY+TURKEY,3
dipnet,RUSSIA+TURKEY,1
searchbot,AUSTRIA+ENGLAND,1
searchbot,AUSTRIA+FRANCE,1
searchbot,AUSTRIA+GERMANY,2
searchbot,AUSTRIA+ITALY,0
searchbot,AUSTRIA+RUSSIA,2
searchbot,AUSTRIA+TURKEY,1
searchbot,ENGLAND+FRANCE,2
searchbot,ENGLAND+GERMANY,2
searchbot,ENGLAND+ITALY,0
searchbot,ENGLAND+RUSSIA,2
searchbot,ENGLAND+TURKEY,2
searchbot,FRANCE+GERMANY,2
searchbot,FRANCE+ITALY,2
searchbot,FRANCE+RUSSIA,0
searchbot,FRANCE+TURKEY,3
searchbot,GERMANY+ITALY,0
searchbot,GERMANY+RUSSIA,3
searchbot,GERMANY+TURKEY,0
searchbot,ITALY+RUSSIA,1
searchbot,ITALY+TURKEY,3
searchbot,RUSSIA+TURKEY,1
