side,agent_name,scope,power,n_samples,mean_sos,mean_sos_bootstrap_se,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,conflict_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,conflict_avg_per_sample,phase_total,conflict_per_phase,conflict_per_phase_bootstrap_se,support_success_total,support_total_total,support_success_ratio,n_bootstrap_units,n_bootstrap_replications
mixed,consistent,overall,OVERALL,70,0.258207,0.030800,0.214286,0.042857,0.200000,0.542857,15,3,14,38,3,23,1,0,27,0.042857,0.328571,0.014286,0.000000,0.385714,3625,0.007448,0.001967,2101,3183,0.660069,10,10000
mixed,consistent,per_power,AUSTRIA,10,0.168975,0.107327,0.100000,0.100000,0.200000,0.600000,1,1,2,6,1,4,1,0,6,0.100000,0.400000,0.100000,0.000000,0.600000,531,0.011299,0.005929,272,518,0.525097,10,10000
mixed,consistent,per_power,ENGLAND,10,0.133209,0.095093,0.100000,0.000000,0.300000,0.600000,1,0,3,6,0,1,0,0,1,0.000000,0.100000,0.000000,0.000000,0.100000,533,0.001876,0.001773,282,381,0.740157,10,10000
mixed,consistent,per_power,FRANCE,10,0.355342,0.138317,0.300000,0.000000,0.200000,0.500000,3,0,2,5,1,5,0,0,6,0.100000,0.500000,0.000000,0.000000,0.600000,520,0.011538,0.003300,407,564,0.721631,10,10000
mixed,consistent,per_power,GERMANY,10,0.475536,0.149609,0.400000,0.100000,0.200000,0.300000,4,1,2,3,0,7,0,0,7,0.000000,0.700000,0.000000,0.000000,0.700000,505,0.013861,0.006144,365,499,0.731463,10,10000
mixed,consistent,per_power,ITALY,10,0.215409,0.125296,0.200000,0.000000,0.100000,0.700000,2,0,1,7,1,5,0,0,6,0.100000,0.500000,0.000000,0.000000,0.600000,517,0.011605,0.007199,297,424,0.700472,10,10000
mixed,consistent,per_power,RUSSIA,10,0.232085,0.122807,0.200000,0.000000,0.400000,0.400000,2,0,4,4,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,502,0.000000,0.000000,259,457,0.566740,10,10000
mixed,consistent,per_power,TURKEY,10,0.226891,0.125562,0.200000,0.100000,0.000000,0.700000,2,1,0,7,0,1,0,0,1,0.000000,0.100000,0.000000,0.000000,0.100000,517,0.001934,0.001837,219,340,0.644118,10,10000
mixed,cicero_nopress,overall,OVERALL,70,0.206209,0.026716,0.142857,0.071429,0.157143,0.628571,10,5,11,44,19,81,29,2,131,0.271429,1.157143,0.414286,0.028571,1.871429,3554,0.036860,0.003884,2023,3179,0.636364,10,10000
mixed,cicero_nopress,per_power,AUSTRIA,10,0.127551,0.095141,0.100000,0.000000,0.100000,0.800000,1,0,1,8,4,15,1,0,20,0.400000,1.500000,0.100000,0.000000,2.000000,471,0.042463,0.011698,249,392,0.635204,10,10000
mixed,cicero_nopress,per_power,ENGLAND,10,0.020588,0.019489,0.000000,0.000000,0.100000,0.900000,0,0,1,9,0,9,4,0,13,0.000000,0.900000,0.400000,0.000000,1.300000,495,0.026263,0.008987,143,207,0.690821,10,10000
mixed,cicero_nopress,per_power,FRANCE,10,0.064315,0.049829,0.000000,0.100000,0.100000,0.800000,0,1,1,8,2,8,7,0,17,0.200000,0.800000,0.700000,0.000000,1.700000,512,0.033203,0.007724,366,554,0.660650,10,10000
mixed,cicero_nopress,per_power,GERMANY,10,0.447126,0.145033,0.400000,0.000000,0.200000,0.400000,4,0,2,4,3,15,5,0,23,0.300000,1.500000,0.500000,0.000000,2.300000,507,0.045365,0.011949,366,556,0.658273,10,10000
mixed,cicero_nopress,per_power,ITALY,10,0.308812,0.126493,0.200000,0.200000,0.300000,0.300000,2,2,3,3,3,4,5,0,12,0.300000,0.400000,0.500000,0.000000,1.200000,568,0.021127,0.006460,329,429,0.766900,10,10000
mixed,cicero_nopress,per_power,RUSSIA,10,0.320126,0.141894,0.300000,0.000000,0.100000,0.600000,3,0,1,6,3,20,3,2,28,0.300000,2.000000,0.300000,0.200000,2.800000,485,0.057732,0.012602,301,593,0.507589,10,10000
mixed,cicero_nopress,per_power,TURKEY,10,0.154948,0.086985,0.000000,0.200000,0.200000,0.600000,0,2,2,6,4,10,4,0,18,0.400000,1.000000,0.400000,0.000000,1.800000,516,0.034884,0.007890,269,448,0.600446,10,10000
mixed,dipnet,overall,OVERALL,70,0.034973,0.013483,0.000000,0.042857,0.100000,0.857143,0,3,7,60,32,85,33,2,152,0.457143,1.214286,0.471429,0.028571,2.171429,3574,0.042529,0.005845,1288,2439,0.528085,10,10000
mixed,dipnet,per_power,AUSTRIA,10,0.026891,0.025455,0.000000,0.100000,0.000000,0.900000,0,1,0,9,1,12,5,0,18,0.100000,1.200000,0.500000,0.000000,1.800000,538,0.033457,0.010859,175,354,0.494350,10,10000
mixed,dipnet,per_power,ENGLAND,10,0.032432,0.030700,0.000000,0.000000,0.100000,0.900000,0,0,1,9,9,12,3,0,24,0.900000,1.200000,0.300000,0.000000,2.400000,484,0.049587,0.021705,155,234,0.662393,10,10000
mixed,dipnet,per_power,FRANCE,10,0.154344,0.070827,0.000000,0.200000,0.200000,0.600000,0,2,2,6,8,17,11,0,36,0.800000,1.700000,1.100000,0.000000,3.600000,510,0.070588,0.017347,338,571,0.591944,10,10000
mixed,dipnet,per_power,GERMANY,10,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,4,18,5,2,29,0.400000,1.800000,0.500000,0.200000,2.900000,521,0.055662,0.014298,173,299,0.578595,10,10000
mixed,dipnet,per_power,ITALY,10,0.005000,0.004734,0.000000,0.000000,0.100000,0.900000,0,0,1,9,8,6,4,0,18,0.800000,0.600000,0.400000,0.000000,1.800000,492,0.036585,0.014353,175,283,0.618375,10,10000
mixed,dipnet,per_power,RUSSIA,10,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,0,8,3,0,11,0.000000,0.800000,0.300000,0.000000,1.100000,530,0.020755,0.003249,106,269,0.394052,10,10000
mixed,dipnet,per_power,TURKEY,10,0.026143,0.015511,0.000000,0.000000,0.300000,0.700000,0,0,3,7,2,12,2,0,16,0.200000,1.200000,0.200000,0.000000,1.600000,499,0.032064,0.011951,166,429,0.386946,10,10000
mixed,searchbot,overall,OVERALL,70,0.072040,0.024145,0.042857,0.028571,0.128571,0.800000,3,2,9,56,42,132,37,12,223,0.600000,1.885714,0.528571,0.171429,3.185714,3618,0.061636,0.004431,1801,2909,0.619113,10,10000
mixed,searchbot,per_power,AUSTRIA,10,0.038087,0.035773,0.000000,0.000000,0.200000,0.800000,0,0,2,8,2,15,3,0,20,0.200000,1.500000,0.300000,0.000000,2.000000,513,0.038986,0.006880,158,276,0.572464,10,10000
mixed,searchbot,per_power,ENGLAND,10,0.062011,0.046714,0.000000,0.100000,0.100000,0.800000,0,1,1,8,4,17,3,3,27,0.400000,1.700000,0.300000,0.300000,2.700000,541,0.049908,0.018969,143,236,0.605932,10,10000
mixed,searchbot,per_power,FRANCE,10,0.206874,0.125468,0.200000,0.000000,0.200000,0.600000,2,0,2,6,8,21,10,0,39,0.800000,2.100000,1.000000,0.000000,3.900000,511,0.076321,0.019587,360,496,0.725806,10,10000
mixed,searchbot,per_power,GERMANY,10,0.117133,0.094713,0.100000,0.000000,0.100000,0.800000,1,0,1,8,8,22,12,5,47,0.800000,2.200000,1.200000,0.500000,4.700000,520,0.090385,0.017440,297,504,0.589286,10,10000
mixed,searchbot,per_power,ITALY,10,0.074726,0.060684,0.000000,0.100000,0.100000,0.800000,0,1,1,8,5,12,4,3,24,0.500000,1.200000,0.400000,0.300000,2.400000,476,0.050420,0.014664,279,405,0.688889,10,10000
mixed,searchbot,per_power,RUSSIA,10,0.003419,0.003199,0.000000,0.000000,0.100000,0.900000,0,0,1,9,9,21,4,1,35,0.900000,2.100000,0.400000,0.100000,3.500000,536,0.065299,0.017435,249,436,0.571101,10,10000
mixed,searchbot,per_power,TURKEY,10,0.002027,0.001919,0.000000,0.000000,0.100000,0.900000,0,0,1,9,6,24,1,0,31,0.600000,2.400000,0.100000,0.000000,3.100000,521,0.059501,0.011073,315,556,0.566547,10,10000
